company,species,REF,review_year,cocoa_percent,company_location,rating,bean_type,bean_origin,is_blend,is_domestic
A. Morin,Agua Grande,1876,2016,0.63,France,3.75,Others,Sao Tome,0,0
A. Morin,Kpime,1676,2015,0.7,France,2.75,Others,Togo,0,0
A. Morin,Atsane,1676,2015,0.7,France,3.0,Others,Togo,0,0
A. Morin,Akata,1680,2015,0.7,France,3.5,Others,Togo,0,0
A. Morin,Quilla,1704,2015,0.7,France,3.5,Others,Peru,0,0
A. Morin,Carenero,1315,2014,0.7,France,2.75,Criollo,Venezuela,0,0
A. Morin,Cuba,1315,2014,0.7,France,3.5,Others,Cuba,0,0
A. Morin,Sur del Lago,1315,2014,0.7,France,3.5,Criollo,Venezuela,0,0
A. Morin,Puerto Cabello,1319,2014,0.7,France,3.75,Criollo,Venezuela,0,0
A. Morin,Pablino,1319,2014,0.7,France,4.0,Others,Peru,0,0
A. Morin,Panama,1011,2013,0.7,France,2.75,Others,Panama,0,0
A. Morin,Madagascar,1011,2013,0.7,France,3.0,Criollo,Madagascar,0,0
A. Morin,Brazil,1011,2013,0.7,France,3.25,Others,Brazil,0,0
A. Morin,Equateur,1011,2013,0.7,France,3.75,Others,Ecuador,0,0
A. Morin,Colombie,1015,2013,0.7,France,2.75,Others,Colombia,0,0
A. Morin,Birmanie,1015,2013,0.7,France,3.0,Others,Burma,0,0
A. Morin,Papua New Guinea,1015,2013,0.7,France,3.25,Others,Papua New Guinea,0,0
A. Morin,Chuao,1015,2013,0.7,France,4.0,Trinitario,Venezuela,0,0
A. Morin,Piura,1019,2013,0.7,France,3.25,Others,Peru,0,0
A. Morin,Chanchamayo Province,1019,2013,0.7,France,3.5,Others,Peru,0,0
A. Morin,Chanchamayo Province,1019,2013,0.63,France,4.0,Others,Peru,0,0
A. Morin,Bolivia,797,2012,0.7,France,3.5,Others,Bolivia,0,0
A. Morin,Peru,797,2012,0.63,France,3.75,Others,Peru,0,0
Acalli,"Chulucanas, El Platanal",1462,2015,0.7,U.S.A.,3.75,Others,Peru,1,0
Acalli,"Tumbes, Norandino",1470,2015,0.7,U.S.A.,3.75,Criollo,Peru,1,0
Adi,Vanua Levu,705,2011,0.6,Fiji,2.75,Trinitario,Fiji,0,1
Adi,"Vanua Levu, Toto-A",705,2011,0.8,Fiji,3.25,Trinitario,Fiji,1,1
Adi,Vanua Levu,705,2011,0.88,Fiji,3.5,Trinitario,Fiji,0,1
Adi,"Vanua Levu, Ami-Ami-CA",705,2011,0.72,Fiji,3.5,Trinitario,Fiji,1,1
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",370,2009,0.55,Ecuador,2.75,Forastero (Arriba),Ecuador,1,1
